lat,lon,gravity_anomaly
64.05,-154.25,13.196482130252
64.05,-154,13.36967192972
64.05,-153.75,13.552683851635
64.05,-153.5,13.748622334798
64.05,-153.25,13.960568847507
64.05,-153,14.191524124903
64.05,-152.75,14.444349600915
64.05,-152.5,14.721709008899
64.05,-152.25,15.026011143951
64.05,-152,15.359354782611
64.05,-151.75,15.723476742348
64.05,-151.5,16.119704033626
64.05,-151.25,16.548911011894
64.05,-151,17.011482376057
64.05,-150.75,17.507282784554
64.05,-150.5,18.03563377116599
64.05,-150.25,18.595298541317
64.05,-150,19.184475117237
64.05,-149.75,19.800798178639
64.05,-149.5,20.44134981620099
64.05,-149.25,21.10267927997499
64.05,-149,21.780831666008
64.05,-148.75,22.471385343822
63.8,-159,9.639822426199999
63.8,-158.75,9.977647857989004
63.8,-158.5,10.308648293309
63.8,-158.25,10.630923112197
63.8,-158,10.942755290906
63.8,-157.75,11.242656313534
63.8,-157.5,11.529407791497
63.8,-157.25,11.80209891147
63.8,-157,12.06015889683
63.8,-156.75,12.303383747115
63.8,-156.5,12.531956613354
63.8,-156.25,12.746461272543
63.8,-156,12.947888280441
63.8,-155.75,13.137633506179
63.8,-155.5,13.317488882817
63.8,-155.25,13.489625342865
63.8,-155,13.65656804451
63.8,-154.75,13.821164130755
63.8,-154.5,13.986543397405
63.8,-154.25,14.156072374859
63.8,-154,14.33330245061
63.8,-153.75,14.521912772327
63.8,-153.5,14.725648773534
63.8,-153.25,14.948257253345
63.8,-153,15.19341901712
63.8,-152.75,15.464680144899
63.8,-152.5,15.765382997916
63.8,-152.25,16.098598099765
63.8,-152,16.467058037111
63.8,-151.75,16.873094515124
63.8,-151.5,17.31857967493299
63.8,-151.25,17.804872734649
63.8,-151,18.332772952447
63.8,-150.75,18.90247983058499
63.8,-150.5,19.513561384104
63.8,-150.25,20.164931188642
63.8,-150,20.85483479971601
63.8,-149.75,21.58084600272499
63.8,-149.5,22.339873210657
63.8,-149.25,23.128176177066
63.8,-149,23.941393037453
63.8,-148.75,24.774577534978
63.55,-159,10.493364243896
63.55,-158.75,10.85789915171
63.55,-158.5,11.214629364641
63.55,-158.25,11.561307060968
63.55,-158,11.895890774104
63.55,-157.75,12.2165987939
63.55,-157.5,12.521958820765
63.55,-157.25,12.810852855835
63.55,-157,13.08255638436
63.55,-156.75,13.336771000329
63.55,-156.5,13.573649726591
63.55,-156.25,13.793814404552
63.55,-156,13.998364658861
63.55,-155.75,14.188878083263
63.55,-155.5,14.36740144151
63.55,-155.25,14.536432829601
63.55,-155,14.698894900063
63.55,-154.75,14.858099403032
63.55,-154.5,15.017703450057
63.55,-154.25,15.181658052309
63.55,-154,15.354149623056
63.55,-153.75,15.539535262419
63.55,-153.5,15.742272758739
63.55,-153.25,15.966846343265
63.55,-153,16.217689321859
63.55,-152.75,16.499104777449
63.55,-152.5,16.815185588925
63.55,-152.25,17.16973504523
63.55,-152,17.566189346816
63.55,-151.75,18.00754328019499
63.55,-151.5,18.496280324934
63.55,-151.25,19.034308406332
63.55,-151,19.622902441845
63.55,-150.75,20.262654745704
63.55,-150.5,20.953434255413
63.55,-150.25,21.69435542703501
63.55,-150,22.48375751511
63.55,-149.75,23.319194809347
63.55,-149.5,24.197438245947
63.55,-149.25,25.11448864864401
63.55,-149,26.06560168552999
63.55,-148.75,27.045324454913
63.3,-159,11.456968805854
63.3,-158.75,11.848392999673
63.3,-158.5,12.230299430071
63.3,-158.25,12.600073035115
63.3,-158,12.955334853063
63.3,-157.75,13.294003845778
63.3,-157.5,13.614354444057
63.3,-157.25,13.915068667444
63.3,-157,14.195281755628
63.3,-156.75,14.454620351598
63.3,-156.5,14.693232396528
63.3,-156.25,14.911808030931
63.3,-156,15.111590943586
63.3,-155.75,15.294379766817
63.3,-155.5,15.462519281162
63.3,-155.25,15.618881361773
63.3,-155,15.76683577026
63.3,-154.75,15.910211066376
63.3,-154.5,16.05324608132299
63.3,-154.25,16.20053255582299
63.3,-154,16.356949699019
63.3,-153.75,16.527591566264
63.3,-153.5,16.717688282876
63.3,-153.25,16.93252225486399
63.3,-153,17.177340604761
63.3,-152.75,17.457265149579
63.3,-152.5,17.777201297194
63.3,-152.25,18.14174727636199
63.3,-152,18.555105133234
63.3,-151.75,19.020994923555
63.3,-151.5,19.542573504426
63.3,-151.25,20.122359282989
63.3,-151,20.76216421213699
63.3,-150.75,21.46303423622799
63.3,-150.5,22.22519928387399
63.3,-150.25,23.04803378157299
63.3,-150,23.930028522895
63.3,-149.75,24.86877457487699
63.3,-149.5,25.86095973836
63.3,-149.25,26.902377904384
63.3,-149,27.987951466746
63.3,-148.75,29.111766764009
63.05,-159,12.487056423775
63.05,-158.75,12.904414380462
63.05,-158.5,13.309808603941
63.05,-158.25,13.700234197452
63.05,-158,14.072959380752
63.05,-157.75,14.425595483621
63.05,-157.5,14.756162051013
63.05,-157.25,15.063145793089
63.05,-157,15.345552209616
63.05,-156.75,15.602948834288
63.05,-156.5,15.835499178407
63.05,-156.25,16.043986602814
63.05,-156,16.229827509402
63.05,-155.75,16.395073416423
63.05,-155.5,16.54240166221
63.05,-155.25,16.675094667065
63.05,-155,16.797007869975
63.05,-154.75,16.91252664256199
63.05,-154.5,17.026512664481
63.05,-154.25,17.144240419473
63.05,-154,17.271324636887
63.05,-153.75,17.413639657253
63.05,-153.5,17.577231840036
63.05,-153.25,17.76822625510499
63.05,-153,17.99272900480599
63.05,-152.75,18.25672660936999
63.05,-152.5,18.565983953376
63.05,-152.25,18.92594233430099
63.05,-152,19.341619175018
63.05,-151.75,19.817510960249
63.05,-151.5,20.357500932283
63.05,-151.25,20.964773034116
63.05,-151,21.641733519023
63.05,-150.75,22.389941555388
63.05,-150.5,23.210050045432
63.05,-150.25,24.101757747782
63.05,-150,25.063773648226
63.05,-149.75,26.093794362285
63.05,-149.5,27.18849517965
63.05,-149.25,28.343535176115
63.05,-149,29.553576625997
63.05,-148.75,30.812318749465
